Symbol,Name
0IYG,GLOBAL X LITHIUM & BATTERY TECH ETF GLOBAL X LITHIUM & BATTERY TECH ETF
0G7F,XACT BEAR 2 XACT BEAR2 ETF
0MWM,XACT BULL XACT BULL CLOSED ETF
0MPQ,ETFLAB DAX DEKA DAX  UCITS ETF
0JDT,ISHARES GOLD TRUST ISHARES GOLD ETF
0VQY,UBS ETF (CH) - PALLADIUM (USD) A-DI UBS ETF (CH) - PALLADIUM (USD) A-DIS
0Y2M,UBS (IRL) ETF PLC-SOLACTIVE GL OIL UBS (IRL) ETF PLC-SOLACTIVE GL OIL EQ UC
0DB7,UBS (IRL) ETF PLC-MSCI AUSTRALIA UC UBS (IRL) ETF PLC-MSCI AUSTRALIA UCITS (
0E5Z,UBS ETF BLOOMBERG BARCLAYSTIPS 1-10 UBS ETF BLOOMBERG BARCLAYSTIPS 1-10 UCI
0E7I,LYXOR ITALIA EQUITY PIR UCITS ETF-C LYXOR ITALIA EQUITY PIR UCITS ETF-C-EUR
0Y4G,UBS (IRL) ETF PLC-MSCI USA HGD TO E UBS (IRL) ETF PLC-MSCI USA HGD TO EUR (E
0VPZ,UBS ETF (CH) - SMI  (CHF) A-DIS UBS ETF (CH) - SMI  (CHF) A-DIS
0WA3,SGAM ETF BEAR S & P/MIB LYXOR UCITS ETF FTSE MIB DAILY SHORT (BE
0H6Y,ALERIAN MLP ALPS ALERIAN MLP ETF
0G28,XACT OMX XACT OMXS30 ETF
0WAY,AMUNDI ETF LEVERAGED EURO STOXX 50 AMUNDI ETF LEVERAGED EURO STOXX 50 DAILY
0AO8,UBS ETF (CH)-SBI  DOM SWISS PFANDBR UBS ETF (CH)-SBI  DOM SWISS PFANDBRIEF 1
0E4Y,LYXOR S&P 500 UCITS ETF D-EUR LYXOR S&P 500 UCITS ETF DAILY HEDGED C-C
0E7W,LYXOR JPX-NIKKEI 400 (DR) UCITS ETF LYXOR JPX-NIKKEI 400 UCITS ETF (DR)- DLY
0MOT,ISHARES MSCI EUROPE UCITS ETF EUR ( ISHARES MSCI EUROPE UCITS ETF (DIST) (GE
0E0J,UBS ETF MSCI SWITZERLAND 20/35 H TO UBS ETF MSCI SWITZERLAND 20/35 H TOEUR (
0VQQ,UBS INDEX SOLUTIONS   CMCI OIL ETF UBS ETF (CH) - CMCI OIL SF (EUR) A-DIS
0VQX,UBS ETF (CH)-SBI  DOMESTIC GOVT 7-1 UBS ETF (CH)-SBI  DOMESTIC GOVT 7-15 (CH
0W9J,LYXOR UCITS ETF NASDAQ-100 DAILY LE LYXOR UCITS ETF NASDAQ-100 DAILY LEVERAG
0HGX,LYXOR MSCI EMU (DR) UCITS ETF - D-E LYXOR MSCI EMU (DR) UCITS ETF - D-EUR
0GP1,UBS ETF (CH) - PLATINUM (USD) A-DIS UBS ETF (CH) - PLATINUM (USD) A-DIS
0E13,UBS ETF-BLOOMBERG BRCLS US LIQ CORP UBS ETF-BLOOMBERG BRCLS US LIQCORP UCI E
0HAX,UBS ETF-MSCI UNITED KINGDOM HGD TO UBS ETF-MSCI UNITED KINGDOM HGD TO EUR (
0E2H,UBS ETF-FACTOR MSCI EMU PRIME VALUE UBS ETF-FACTOR MSCI EMU PRIME VALUE U(HT
0DW5,LYXOR UCITS ETF MSCI WORLD FINANCIA LYXOR UCITS ETF MSCI WORLD FINANCIALS TR
